30	22891	434.163	1.27752	0.294333	2.36587	1.70081	
33	17795	202.788	1.35652	0.0960881	2.14504	0.479933	
172	149119	508.084	1.29618	-0.704187	4.52943	-10.0481	
164	150228	530.738	1.27271	0.874572	3.48554	7.36235	
146	159605	491.239	1.33462	-0.279565	2.84343	-1.12708	
171	120863	282.739	1.40349	0.0809376	2.87982	0.534517	
173	254065	634.26	1.31935	-0.259128	2.14558	-1.10791	
57	20212	160.375	1.35524	-0.515285	2.94244	-3.52786	
139	147178	767.81	1.14227	0.337659	2.39362	2.82376	
151	109629	560.138	1.07594	-0.114484	2.15071	-1.18339	
181	296392	1353.59	1.03798	1.19373	3.49304	7.2996	
114	103211	546.475	1.1916	-0.326001	1.93805	-1.12733	
159	196931	981.748	1.0656	-1.82286	6.722	-20.6714	
126	124401	503.579	1.28164	0.017366	2.2144	1.00646	
65	31369	210.901	1.35534	0.55387	2.82202	4.19939	
148	92055	298.405	1.33118	-0.777123	5.20773	-11.1324	
35	36373	453.65	1.28072	-0.161729	1.92761	-0.673684	
160	272639	1374.32	0.857237	0.374213	1.51788	1.01088	
159	235555	694.856	1.3374	-0.03344	2.11222	-0.133071	
108	90423	537.409	1.22481	1.15566	4.59002	10.1606	
143	361822	1143.96	1.297	-0.0969736	1.98863	-0.453113	
60	29799	253.533	1.351	0.303337	3.43336	1.77682	
146	180428	863.254	1.12305	-1.41952	5.25613	-13.7114	
162	217755	1346.97	1.05027	-1.35859	4.22212	-10.6859	
180	168137	398.759	1.37855	0.104896	3.07018	0.573921	
39	18381	182.25	1.36739	-0.115646	2.25128	-0.502736	
153	364142	1202.14	1.23268	-0.213033	1.99502	-0.885321	
112	108015	647.487	1.12601	0.0533856	1.74022	0.00282295	
175	178508	426.911	1.36986	0.0571153	3.27339	-0.200671	
151	138884	439.355	1.34579	0.583727	2.90103	3.62765	
176	134512	297.001	1.39956	0.307315	2.8746	2.44117	
102	84044	465.699	1.35226	0.110862	2.8938	1.15269	
93	94329	478.528	1.35288	-0.100425	2.47487	-0.22026	
51	18139	194.183	1.26077	-0.913977	3.23722	-5.79763	
112	59876	262.436	1.29255	0.616192	4.07686	5.73505	
71	53117	419.752	1.33958	0.250209	2.44523	1.01081	
35	22341	296.745	1.2675	-0.385461	1.99849	-1.58491	
133	122184	512.897	1.19215	0.287259	2.16661	0.697084	
43	14747	177.544	1.25684	0.856688	3.11595	5.49687	
80	46789	306.191	1.28072	1.1521	4.64666	12.1508	
73	195887	1450.16	1.2838	0.627923	2.71162	4.06381	
26	30093	519.198	1.28946	-0.0689609	1.99429	-0.384838	
127	136654	624.43	1.30096	0.36475	2.37798	1.82689	
125	76805	276.404	1.28353	0.747952	4.72156	11.3633	
166	131399	319.802	1.38528	0.191382	3.06064	1.78991	
160	87400	278.145	1.36365	-0.568649	4.37871	-8.51	
162	177875	535.513	1.27033	0.47607	2.76599	2.45403	
162	147986	495.795	1.32306	-0.437884	2.92048	-2.09984	
26	4287	60.5053	1.35783	-0.0737436	2.25215	-0.411761	
168	196959	635.059	1.36176	0.030176	2.88035	0.886289	
157	220286	934.976	1.21389	-0.645771	4.03461	-7.50048	
31	9924	125.653	1.34843	0.0482432	2.1184	0.152223	
110	110123	457.529	1.35813	-0.111558	2.21217	-0.499745	
120	100825	303.669	1.3664	0.118013	2.13648	0.799676	
96	63691	294.91	1.37505	-0.228678	2.82168	-2.53705	
165	147168	335.47	1.39503	-0.199288	2.66774	-1.93141	
49	33292	318.182	1.28899	0.539326	2.41888	2.80743	
47	39816	411.329	1.35025	-0.120801	2.37886	-1.0175	
56	88102	848.997	1.27513	0.0456547	1.92145	0.365512	
40	51290	1005.63	0.96795	-0.170889	1.49736	-0.455664	
139	174364	626.941	1.20728	0.0160962	1.82998	-0.0730833	
58	47876	390.511	1.35113	0.213239	2.45178	1.546	
64	41435	347.472	1.32594	0.365167	3.08828	2.029	
73	34448	247.092	1.34485	0.637606	3.46713	4.51526	
129	124141	606	1.27162	-0.0760484	2.47258	-1.05474	
111	55012	345.954	1.14419	1.65856	7.16937	23.0067	
161	356747	1732.22	1.13512	1.37586	4.6381	11.8589	
161	120948	372.323	1.36499	-0.0977994	3.74648	1.02652	
112	75385	436.655	1.21045	1.16966	4.03841	9.65568	
117	112818	420.413	1.36573	-0.26568	2.77289	-2.29327	
138	72734	231.258	1.36173	-0.617744	3.13572	-4.79127	
96	89634	531.122	1.14368	-0.185709	1.72752	-0.539877	
149	133140	584.043	1.21647	0.364542	2.11069	1.69881	
128	61663	216.052	1.36514	-0.624864	3.23731	-5.1587	
100	180769	909.054	1.34464	-0.364636	2.57483	-2.34441	
151	128411	371.851	1.37213	-0.190495	3.28094	-1.86693	
160	118474	323.191	1.36956	-0.537628	3.399	-4.27998	
42	30144	566.086	1.01345	0.563595	1.85568	2.1033	
170	255607	706.253	1.34854	-0.208395	2.8066	-2.57579	
37	21902	274.514	1.34705	-0.017949	2.34987	0.480631	
161	114423	331.677	1.35036	0.5607	3.42102	4.31638	
183	213448	606.682	1.32935	0.00860089	2.21472	0.294777	
51	31018	349.202	1.20208	0.268112	2.18119	0.820948	
28	16128	290.026	1.256	0.077862	1.85817	0.15129	
100	88560	574.898	1.05185	0.0938094	1.48584	0.365049	
67	46115	318.047	1.31457	-0.709438	3.25864	-5.33433	
111	130293	583.568	1.32072	0.0620197	2.52242	0.773148	
139	252483	1030.34	1.18449	-0.176338	1.74769	-0.446291	
138	141289	516.648	1.31999	0.368594	3.11715	2.59268	
17	3661	96.1062	1.23079	-0.259262	1.87829	-0.981715	
