,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NM_001297778,10.30038704,0.109278397,0.658526916,-0.165943706,0.868201252,0.914573626
NM_015584,8.324905673,0.110823402,0.667664685,-0.165986616,0.868167483,0.914573626
NM_001173488,7.824667067,0.111042467,0.671075235,-0.165469475,0.868574474,0.914573626
NM_001184748,8.669644403,0.110438101,0.667905266,-0.165349948,0.868668547,0.914573626
NM_001199165,9.958032901,0.109824476,0.6644766,-0.165279674,0.868723857,0.914573626
NM_006764,4050.444744,0.044668591,0.269989287,-0.165445792,0.868593113,0.914573626
NM_015139,1096.432197,-0.049267927,0.298135013,0.165253744,0.868744265,0.914573626
NM_017677,41.70392497,-0.080417555,0.485227859,0.165731529,0.868368232,0.914573626
NM_001007248,31.55120705,0.089415404,0.542266235,-0.164892074,0.869028931,0.914573626
NM_001554,770.0307047,-0.104293033,0.633785052,0.164555842,0.86929359,0.914573626
NM_003272,488.0980024,0.045404531,0.276059014,-0.164474004,0.86935801,0.914573626
NM_019606,165.2873215,-0.05485207,0.332715955,0.164861554,0.869052953,0.914573626
NM_032898,148.8894091,0.061182125,0.372214278,-0.164373397,0.869437205,0.914573626
NM_078483,653.2198074,0.044984694,0.273526268,-0.164462061,0.869367411,0.914573626
NR_110786,12.774217,-0.105240664,0.640356037,0.164347111,0.869457897,0.914573626
NM_020416,19.19253321,-0.096300866,0.586676152,0.164146549,0.869615778,0.914573626
NM_001319996,12.41981887,-0.104870822,0.639582658,0.163967582,0.869756664,0.914573626
NM_001286272,10.64751036,0.108475325,0.662766092,-0.163670601,0.869990462,0.914573626
NM_177439,7.064411719,-0.110769353,0.676854453,0.163653135,0.870004213,0.914573626
NM_004230,361.4298573,-0.045950643,0.280991615,0.163530299,0.870100919,0.914573626
NM_031490,63.16066959,-0.070760293,0.433333215,0.163293028,0.870287723,0.914573626
NR_132382,14.15722693,-0.100894593,0.618584817,0.163105512,0.87043536,0.914573626
NM_003214,1243.511424,-0.042248987,0.259779307,0.16263415,0.870806497,0.914573626
NM_005328,29.41784122,0.086465642,0.533031079,-0.162215011,0.871136539,0.914573626
NM_005741,2128.158536,0.046664344,0.288032711,-0.162010571,0.871297529,0.914573626
NM_022823,134.6037457,0.057373764,0.35422666,-0.161969075,0.871330207,0.914573626
NR_047470,47.86402019,0.074743768,0.461292703,-0.162031108,0.871281357,0.914573626
NM_001080539,1000.444233,-0.041155966,0.254829203,0.161504118,0.871696368,0.914573626
NM_153209,11.73672768,0.104216598,0.645261769,-0.161510573,0.871691284,0.914573626
NM_003936,22.58239132,-0.095708725,0.593581173,0.161239489,0.87190478,0.914573626
NM_001319065,8.802891022,0.107016479,0.664482763,-0.161052302,0.872052207,0.914573626
NM_001278559,1643.656531,0.046440111,0.289873254,-0.160208333,0.872716966,0.914573626
NM_001321210,22.47914883,0.092364712,0.575200507,-0.160578288,0.872425557,0.914573626
NM_001329684,12.60717807,0.10349954,0.643552404,-0.160825349,0.87223096,0.914573626
NM_002843,1392.628398,0.040946096,0.254971088,-0.160591131,0.87241544,0.914573626
NM_017919,1622.039304,-0.040748736,0.254380349,0.160188223,0.872732807,0.914573626
NR_046086,6.87191617,0.109014328,0.679919503,-0.160334168,0.872617845,0.914573626
NR_108047,45.55133748,-0.074837242,0.466218477,0.160519684,0.872471717,0.914573626
NR_132962,12.20427175,-0.102154879,0.637189112,0.16032113,0.872628115,0.914573626
NM_001154,11260.45577,-0.037923419,0.237023357,0.159998658,0.872882132,0.914573626
NR_126059,48.19056068,0.072172469,0.451200439,-0.159956559,0.872915295,0.914573626
NM_016544,7.932440627,0.107166933,0.670862529,-0.159744997,0.873081954,0.914573626
NR_002447,21.02377474,0.092336635,0.578057408,-0.159736098,0.873088964,0.914573626
NM_001020,198.280531,-0.049446146,0.311399558,0.158786821,0.873836833,0.914573626
NM_001034850,8.453861253,-0.106013973,0.666585465,0.15904033,0.873637099,0.914573626
NM_001520,17.21410496,-0.096849871,0.610264903,0.158701361,0.873904166,0.914573626
NM_014174,68.46107161,-0.064812586,0.407994122,0.158856667,0.873781802,0.914573626
NM_032047,2103.92407,-0.039378942,0.248098271,0.158723162,0.873886988,0.914573626
NR_110291,12.21471303,0.101681763,0.641697078,-0.158457575,0.874096248,0.914573626
NM_001001660,195.5160238,0.052631639,0.332535291,-0.158273845,0.874241017,0.914573626
NM_001184819,12.60479348,0.101397976,0.642003937,-0.157939804,0.874504232,0.914573626
NM_014077,2859.541036,-0.038382009,0.243264692,0.157778789,0.874631113,0.914573626
NR_110543,17.86984344,-0.093024454,0.589668532,0.157757195,0.87464813,0.914573626
NM_001321810,7.542397068,-0.106054713,0.67409525,0.157328973,0.874985588,0.914573626
NM_000624,171.3095387,0.051918942,0.330939407,-0.156883529,0.875336641,0.914573626
NM_001300801,10.83707547,-0.102241051,0.650684865,0.157128368,0.875143681,0.914573626
NM_018028,193.7642238,-0.049617035,0.316164771,0.156934105,0.875296781,0.914573626
NM_033061,8.429459432,0.105869841,0.674579051,-0.156942083,0.875290494,0.914573626
NM_001267043,8.710931115,0.106478981,0.679279302,-0.156752871,0.875439617,0.914573626
NM_001134793,9.651088159,0.102994778,0.659738853,-0.156114466,0.875942796,0.914573626
NM_001297752,11.58206301,0.100079356,0.641608168,-0.155982047,0.876047172,0.914573626
NM_032527,12.40478709,0.098817025,0.634663275,-0.155699926,0.876269555,0.914573626
NR_037806,23.81017429,-0.087730666,0.563438915,0.155705727,0.876264983,0.914573626
NR_003046,18.56015611,-0.091489827,0.588235319,0.1555327,0.876401377,0.914573626
NM_001123385,6.978891416,-0.104714437,0.676481725,0.154792706,0.876984741,0.914573626
NM_198868,16.96159906,-0.093378394,0.602855836,0.154893406,0.876905352,0.914573626
NM_001288984,6.848864598,-0.104849054,0.678314267,0.154572974,0.877157978,0.914573626
NM_032360,1594.272081,0.037704316,0.243994378,-0.154529446,0.877192296,0.914573626
NR_026914,49.60547292,-0.071634113,0.46501294,0.15404757,0.877572228,0.914573626
NR_033248,105.9392378,-0.055615104,0.360946741,0.154081191,0.877545718,0.914573626
NR_003545,138.5303308,-0.060016673,0.390154482,0.153827974,0.877745376,0.914573626
NM_014907,32.00022662,0.080631324,0.524608221,-0.153698171,0.877847727,0.914573626
NM_138378,21.2194532,0.0885577,0.577864702,-0.153249887,0.878201218,0.914573626
NM_004334,19.57722484,0.08936093,0.58373919,-0.153083658,0.878332303,0.914573626
NR_110049,16.92807967,0.092201831,0.604158852,-0.152611901,0.878704339,0.914573626
NM_001256443,17.72855049,0.089813343,0.592070895,-0.151693562,0.879428635,0.914573626
NM_001318326,305.0199075,0.043491579,0.285584795,-0.152289547,0.878958569,0.914573626
NM_003910,1772.008928,-0.037440325,0.246843354,0.151676456,0.879442128,0.914573626
NM_006242,162.6849467,0.05008501,0.328758272,-0.152346006,0.878914041,0.914573626
NM_014828,17.48836552,0.089841754,0.592382594,-0.151661704,0.879453764,0.914573626
NM_020397,15.33112935,-0.093427303,0.615816186,0.151712971,0.879413326,0.914573626
NR_027336,25.82266168,0.08344226,0.550437574,-0.151592595,0.879508275,0.914573626
NR_104013,60.87767719,-0.064573054,0.424980924,0.151943418,0.879231564,0.914573626
NR_130951,11.12955072,0.099508463,0.653909025,-0.152174781,0.879049084,0.914573626
NM_000397,65.55969346,-0.062585386,0.414336547,0.151049639,0.879936559,0.914573626
NM_001014286,36.14179489,-0.07557771,0.501323011,0.150756516,0.880167789,0.914573626
NM_001143760,8.080429663,-0.102406561,0.678865329,0.150849597,0.880094361,0.914573626
NM_152426,62.61984835,0.067365003,0.446617235,-0.150833863,0.880106773,0.914573626
NM_173211,20.10510552,-0.087544733,0.581426289,0.150568927,0.880315774,0.914573626
NM_001320222,27.62360972,0.081781043,0.543968887,-0.150341398,0.880495274,0.914573626
NM_003247,22.81212892,0.084255815,0.560673625,-0.150276045,0.880546831,0.914573626
NR_134930,21.46369318,0.084751437,0.564959386,-0.150013327,0.880754101,0.914573626
NM_001007246,514.0480619,0.039932528,0.266910682,-0.149610078,0.881072257,0.914573626
NM_006477,7.827886868,0.101232944,0.677042735,-0.149522237,0.881141564,0.914573626
NM_005556,616.5363884,-0.098972195,0.663574842,0.149150011,0.881435264,0.914573626
NM_024119,19.01693899,0.090935019,0.609679581,-0.149152148,0.881433578,0.914573626
NR_034125,11.55846559,-0.096375155,0.647053978,0.148944536,0.881597398,0.914573626
NM_001294145,21.90816523,-0.085689934,0.577036171,0.148500108,0.881948101,0.914573626
NM_001318785,63.07991239,0.062203639,0.419249913,-0.148368877,0.88205166,0.914573626
NM_080820,1195.376955,0.036259896,0.24503483,-0.147978539,0.882359705,0.914573626
NM_022719,22.53521085,-0.082336139,0.55806417,0.147538837,0.882706728,0.914573626
NM_033271,2298.846277,0.041411329,0.28030312,-0.147737666,0.882549804,0.914573626
NM_144635,16.03537602,0.089512798,0.605808414,-0.147757602,0.882534071,0.914573626
NM_153634,804.1322604,0.039309385,0.266497817,-0.14750359,0.882734547,0.914573626
NR_110386,17.59291928,0.088591442,0.601282307,-0.147337517,0.882865621,0.914573626
NR_132780,8.694046224,-0.098566187,0.668678997,0.14740434,0.88281288,0.914573626
NM_001286706,72.2157875,0.062903568,0.428162056,-0.146915326,0.883198855,0.914573626
NM_001199878,19.92973698,-0.086806823,0.591575841,0.146738283,0.8833386,0.914573626
NM_020443,37.83500017,0.072193427,0.492108235,-0.146702335,0.883366976,0.914573626
NM_001270550,11.22954052,-0.094364736,0.644796994,0.146347978,0.883646693,0.914573626
NR_002579,44.03213405,-0.069180377,0.472470424,0.146422662,0.883587738,0.914573626
NR_024034,305.6890875,0.043523766,0.297273351,-0.146409915,0.883597801,0.914573626
NM_001199096,6.935183217,0.09919185,0.678339712,-0.146227396,0.883741879,0.914573626
NM_018240,27.71234982,0.078422937,0.536999118,-0.146039229,0.88389042,0.914573626
NM_001304833,11.40752968,0.093819036,0.643359682,-0.145826727,0.884058177,0.914573626
NM_139286,155.2324016,-0.051861643,0.356191852,0.145600307,0.884236926,0.914573626
NM_015589,13.42029608,-0.092321171,0.634678883,0.14546123,0.884346724,0.914573626
NM_001172668,9.30205839,-0.095715603,0.660022301,0.145018741,0.884696075,0.914573626
NM_006626,1592.638011,0.040054426,0.276093122,-0.145075784,0.884651037,0.914573626
NR_037928,30.26417281,-0.081903823,0.565532661,0.144825983,0.884848267,0.914573626
NM_001243160,112.434749,0.051164638,0.353855387,-0.144591944,0.885033058,0.914573626
NM_001242698,16.46563505,0.086472379,0.599750406,-0.144180609,0.885357853,0.914573626
NM_001282531,6.893371112,-0.097743532,0.676876813,0.144403724,0.885181676,0.914573626
NM_001320329,12.83826592,0.09093155,0.630966184,-0.144114776,0.885409837,0.914573626
NR_038464,236.1942181,0.043293486,0.300319043,-0.14415831,0.885375461,0.914573626
NM_016464,87.49787718,0.060105429,0.418368104,-0.143666374,0.885763925,0.914573626
NM_013246,11.64533006,0.091441604,0.641233488,-0.142602664,0.886603993,0.914573626
NM_024917,7.934862114,-0.09584021,0.670628953,0.142910934,0.886360523,0.914573626
NM_052950,436.8654067,0.039721892,0.278343363,-0.142708243,0.886520606,0.914573626
NM_213596,22.2287546,0.085665201,0.599835092,-0.142814587,0.886436617,0.914573626
NR_026890,27.6734477,0.075978857,0.533087798,-0.142525972,0.886664566,0.914573626
NM_017704,500.5592206,0.038037324,0.267195933,-0.142357421,0.886797693,0.914573626
NM_001282450,9.432085208,-0.093541485,0.66088229,0.141540311,0.887443117,0.914573626
NM_001297576,13.23022202,-0.089292887,0.630655855,0.141587343,0.887405965,0.914573626
NM_003514,7.413168566,0.095520304,0.676413981,-0.141215744,0.887699509,0.914573626
NM_020162,60.46588725,0.065851182,0.465046991,-0.141601135,0.88739507,0.914573626
NM_032048,707.092254,0.040885363,0.28901671,-0.141463665,0.887503662,0.914573626
NM_147134,467.2445388,-0.043238188,0.305982277,0.141309453,0.887625482,0.914573626
NM_182688,20.54551647,0.081482191,0.574476336,-0.141837332,0.887208496,0.914573626
NR_045129,11.14509145,0.091121794,0.644522485,-0.141378766,0.887570728,0.914573626
NM_018000,865.3676905,0.035976452,0.255056106,-0.141053089,0.887828003,0.914573626
