,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NR_040623,124.6580892,-0.516272009,0.18758252,2.752239441,0.005918923,0.110687293
NR_040624,0.16398911,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_040626,0.719747578,0.122068842,0.227557096,-0.536431711,0.59166022,1
NR_040628,417.3349911,-0.000377839,0.173872445,0.002173082,0.998266133,1
NR_040630,3.369699425,0.313827274,0.345871118,-0.907353224,0.364220037,0.947226496
NR_040634,3.956490246,-0.205330009,0.347890721,0.590214101,0.55504712,1
NR_040636,6.438684158,0.015518702,0.347744314,-0.044626759,0.964404813,1
NR_040637,0.334578821,0.094361132,0.148967141,-0.633435884,0.526449038,1
NR_040639,3.077308079,0.513898512,0.347991251,-1.47675699,0.13974079,0.683543654
NR_040640,65.85735002,0.155133835,0.20835048,-0.744581127,0.456524981,0.988647902
NR_040641,1.719873252,0.206723717,0.304870803,-0.678069905,0.497727371,1
NR_040642,15.64238155,0.490466589,0.292603297,-1.676216889,0.093695717,0.577460849
NR_040646,8.247043252,-0.274914262,0.333388968,0.824605155,0.409595794,0.96860424
NR_040649,2.684876346,0.220891041,0.319921009,-0.69045494,0.489908137,1
NR_040652,9.121367993,0.580650285,0.34511552,-1.682480943,0.092475617,0.574024465
NR_040657,16.08560882,-0.02324556,0.302822583,0.076762968,0.938812111,1
NR_040658,0.242224622,0.071375004,0.148967141,-0.479132534,0.631844346,1
NR_040659,13.67061719,0.035429597,0.300987806,-0.117711073,0.906296593,1
NR_040660,44.77493738,-0.131569902,0.257422978,0.511103954,0.609278268,1
NR_040667,0.751173968,-0.185488373,0.188403572,0.984526835,0.324856544,0.914420068
NR_040673,45.9735946,-1.536755177,0.317076417,4.846639784,1.26E-06,0.000126921
NR_040674,6.515198601,0.250722013,0.336467334,-0.745160044,0.456174974,0.988647902
NR_040679,17.86016863,-1.70199162,0.347096911,4.903505525,9.41E-07,9.95E-05
NR_040680,30.53419293,-0.32885031,0.25858768,1.271716847,0.203473743,0.793950041
NR_040681,0.171607616,0.002416617,0.148967141,-0.016222484,0.987056898,1
NR_040684,0.436054252,0.04358158,0.191501856,-0.227577846,0.819974444,1
NR_040690,1.411084418,-0.053132077,0.299015314,0.177690152,0.85896632,1
NR_040696,0.63331191,0.171565881,0.161964282,-1.059282205,0.289471277,0.888676947
NR_040698,4.95542963,-0.176665875,0.347926974,0.507767111,0.611616677,1
NR_040702,1.515636041,-0.105288843,0.224922859,0.468110906,0.639705281,1
NR_040705,287.2215073,1.092326123,0.334190283,-3.268575354,0.001080904,0.033134135
NR_040707,14.27022386,-0.49123628,0.348007276,1.411568995,0.158076907,0.722292137
NR_040708,293.0409637,0.326316499,0.179191916,-1.821044762,0.068600053,0.499355655
NR_040713,0.453832161,-0.035763287,0.191619006,0.186637471,0.851944886,1
NR_040714,40.37733716,-0.229501974,0.239493613,0.958280145,0.337921513,0.925154696
NR_040715,0.652520532,0.090245086,0.224100786,-0.402698661,0.687169919,1
NR_040717,2.567852183,0.043983197,0.338251518,-0.13003104,0.896541869,1
NR_040719,5.061417209,-0.123800715,0.348560626,0.355176992,0.722457,1
NR_040721,205.185476,0.175149777,0.160811102,-1.089164712,0.276081257,0.87658677
NR_040728,0.252358939,0.026306604,0.151458746,-0.173688249,0.862110473,1
NR_040730,0.555220778,0.171255195,0.235302467,-0.727808751,0.466730667,0.993652851
NR_040734,3.974875411,-0.111274879,0.347268202,0.32042922,0.748642978,1
NR_040738,0.252358939,0.026306604,0.151458746,-0.173688249,0.862110473,1
NR_040743,1.062379671,0.048682022,0.259043029,-0.187930251,0.850931328,1
NR_040745,2.01092562,0.002983459,0.300646449,-0.009923479,0.992082339,1
NR_040749,4.840300855,-0.477348937,0.349063887,1.367511662,0.171464984,0.745113582
NR_040750,7.596595273,-0.120358227,0.34200505,0.351919444,0.724898677,1
NR_040754,1.206293641,0.083004068,0.240336885,-0.345365498,0.729819612,1
NR_040755,0.33376436,0.112761969,0.162046315,-0.695862592,0.486514886,1
NR_040757,3.433486681,-0.204911671,0.335838701,0.61014907,0.541763064,1
NR_040760,15.66701753,0.256774571,0.28926715,-0.887672766,0.374716799,0.955086669
NR_040766,92.6934961,-0.494168014,0.249287601,1.982320869,0.04744334,0.416864196
NR_040767,0.418218468,-0.026951322,0.16816566,0.160266501,0.872671146,1
NR_040768,58.83453597,0.037334654,0.200632689,-0.186084599,0.852378419,1
NR_040769,0.161483081,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_044985,247.454655,-0.078838878,0.215795316,0.365341007,0.714856872,1
NR_044986,7.126418971,-0.290134659,0.341180202,0.85038539,0.395110856,0.963314275
NR_045007,86.83807432,-0.741078909,0.217013215,3.414902209,0.000638049,0.022176359
NR_045008,951.6911902,0.119678348,0.132302394,-0.904581873,0.365686942,0.947226496
NR_045009,3.235547476,0.332831901,0.347804589,-0.956950862,0.338592057,0.92530942
NR_045010,236.5362051,0.606449012,0.200227656,-3.028797445,0.002455292,0.059702878
NR_045032,86.87001862,0.51228595,0.311338897,-1.645428681,0.099881439,0.593519076
NR_045036,48.96236836,0.229072526,0.248298397,-0.922569495,0.356231599,0.94150226
NR_045038,698.0530852,0.408659116,0.19366604,-2.110122743,0.034847785,0.351839821
NR_045052,12.74877493,0.117911148,0.309094549,-0.38147275,0.702852488,1
NR_045053,0.320898655,0.05653577,0.160337967,-0.352603759,0.724385519,1
NR_045056,141.9309023,0.145877865,0.16442536,-0.887198084,0.374972264,0.955259722
NR_045057,49.74379941,0.211073037,0.242670041,-0.869794377,0.384412785,0.959542738
NR_045059,3.329378356,-0.069805738,0.345771936,0.201883757,0.8400076,1
NR_045063,1.642436079,0.16883594,0.312320535,-0.54058546,0.588793342,1
NR_045065,205.4834386,-0.405043859,0.232371833,1.743085013,0.081318766,0.54116003
NR_045068,34.86211827,-0.023324582,0.226614269,0.102926362,0.918021415,1
NR_045069,39.77715625,-0.369056229,0.30153876,1.223909751,0.220986275,0.820707213
NR_045070,1.305728292,-0.228087555,0.294896368,0.773449863,0.43925619,0.98177436
NR_045071,0.853468777,0.004397802,0.211258528,-0.020817158,0.98339151,1
NR_045076,2.899813533,0.517067837,0.331947212,-1.557680917,0.119308906,0.638175121
NR_045078,0.536088805,-0.061369756,0.17567319,0.349340477,0.726833714,1
NR_045083,5.362948878,-0.052938783,0.345617752,0.153171481,0.878263047,1
NR_045084,1.402745981,0.03583524,0.286321414,-0.125157387,0.900398952,1
NR_045086,5.517470573,-0.270034636,0.34727359,0.777584716,0.436813874,0.981322899
NR_045091,0.324298513,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045093,31.42319104,0.141422605,0.253953734,-0.556883344,0.577607135,1
NR_045094,0.303345182,-0.06654177,0.148967141,0.446687566,0.655100661,1
NR_045095,0.161483081,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045113,5.343267156,-0.275919441,0.347712606,0.793527289,0.427470677,0.977493805
NR_045119,1.293100447,-0.151564372,0.28722795,0.527679746,0.597721633,1
NR_045120,0.408522427,0.117347261,0.148967141,-0.787739234,0.430849252,0.97786143
NR_045139,94.31310916,0.122399812,0.227294363,-0.538507909,0.590226446,1
NR_045141,2.224701394,0.486572025,0.340792161,-1.427767659,0.153358744,0.71316965
NR_045146,112.459007,0.091969024,0.174109883,-0.528224031,0.597343852,1
NR_045153,13.50314778,-0.080424594,0.328564402,0.244775739,0.80663008,1
NR_045156,0.338279012,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045157,1.184435167,-0.019023746,0.281348768,0.067616239,0.946091128,1
NR_045158,0.164147781,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045161,0.288337428,-0.089527898,0.148967141,0.600990916,0.547846037,1
NR_045162,0.152805732,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045164,1152.785912,0.514222771,0.163922107,-3.136994643,0.001706892,0.04585802
NR_045167,1.419610801,0.05174734,0.263380862,-0.196473425,0.844239631,1
NR_045169,0.842035193,0.404375156,0.257480075,-1.570510483,0.116296397,0.629914242
NR_045170,313.201126,0.039597466,0.146953074,-0.269456537,0.787578384,1
NR_045171,76.72127923,-0.300000963,0.172615848,1.73796883,0.082216306,0.542662446
NR_045174,16.334472,0.548392175,0.327424231,-1.674867415,0.093960248,0.577995755
NR_045175,0.742905967,-0.244962399,0.248802311,0.984566413,0.324837094,0.914420068
NR_045176,5.536210326,-0.127143782,0.348930701,0.364381185,0.715573383,1
NR_045178,0.155132161,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045182,2.770006558,0.338244231,0.342111763,-0.988695121,0.322812331,0.913162363
NR_045187,20.71284502,-0.241770872,0.280941241,0.860574514,0.389472428,0.961291569
NR_045194,9.296216498,0.354088145,0.339667129,-1.042456318,0.297200167,0.892558346
NR_045195,19.95076258,0.073970995,0.304319615,-0.243070087,0.807951104,1
NR_045199,1.482616738,-0.209872151,0.250855232,0.836626563,0.40280251,0.966749823
NR_045264,1.253003816,0.370768518,0.305589126,-1.21329094,0.225018606,0.824216044
NR_045266,58.47055307,0.184717053,0.170638123,-1.082507532,0.279027071,0.879266939
NR_045268,535.7113099,0.383802516,0.15856983,-2.420400622,0.015503416,0.214790914
